FAMID,NEIGHID,ATTAIN,DEPRIVE
1,26,1.52,0.53
2,26,-1.33,0.53
3,26,0.56,0.53
4,26,1.52,0.53
5,26,-1.33,0.53
6,27,-0.13,1.23
7,29,0.03,1
8,29,0.56,1
9,29,0.16,1
10,29,-0.36,1
11,29,-1.33,1
12,29,-1.33,1
13,29,0.74,1
14,29,0.16,1
15,29,-1.33,1
16,30,1.52,0.81
17,30,-0.13,0.81
18,31,2.42,1.09
19,31,-1.33,1.09
20,32,0.03,0.89
21,32,0.26,0.89
22,32,-0.36,0.89
23,32,0.74,0.89
24,32,0.03,0.89
25,32,-0.36,0.89
26,33,-0.36,1.62
27,33,-1.33,1.62
28,33,-1.33,1.62
29,33,-0.36,1.62
30,35,-1.33,1.4
31,35,-1.33,1.4
32,35,-1.33,1.4
33,36,0.26,1.3
34,36,0.74,1.3
35,37,-1.33,1.85
36,38,-1.33,0.73
37,38,-1.33,0.73
38,38,0.74,0.73
39,38,-0.36,0.73
40,38,-0.13,0.73
41,39,-0.36,1.1
42,39,-0.13,1.1
43,39,-1.33,1.1
44,40,-1.33,1.39
45,40,0.56,1.39
46,40,-1.33,1.39
47,40,0.03,1.39
48,41,-1.33,1.31
49,47,-0.13,1.28
50,47,-1.33,1.28
51,47,-1.33,1.28
52,47,-0.13,1.28
53,47,0.26,1.28
54,47,-1.33,1.28
55,47,-0.36,1.28
56,47,-0.36,1.28
57,48,0.03,0.73
58,48,-1.33,0.73
59,48,-0.13,0.73
60,48,-1.33,0.73
61,48,-1.33,0.73
62,49,0.26,1.73
63,49,0.39,1.73
64,49,0.03,1.73
65,49,-1.33,1.73
66,49,0.03,1.73
67,49,-1.33,1.73
68,50,-1.33,2.34
69,50,-1.33,2.34
70,50,-1.33,2.34
71,50,-1.33,2.34
72,50,-1.33,2.34
73,50,-1.33,2.34
74,51,-1.33,2.3
75,51,-1.33,2.3
76,51,0.91,2.3
77,51,-1.33,2.3
78,51,-0.36,2.3
79,51,-1.33,2.3
80,52,-1.33,1.28
81,52,1.14,1.28
82,52,0.74,1.28
83,52,-1.33,1.28
84,53,-1.33,0.74
85,53,-0.36,0.74
86,53,2.42,0.74
87,53,-1.33,0.74
88,54,0.91,1.01
89,54,-1.33,1.01
90,54,-1.33,1.01
91,54,-0.36,1.01
92,55,0.16,1.67
93,55,-0.36,1.67
94,56,0.91,1.56
95,56,-0.13,1.56
96,56,-0.13,1.56
97,56,-1.33,1.56
98,57,0.56,1.1
99,57,-0.58,1.1
100,57,-1.33,1.1
101,57,-1.33,1.1
102,57,-1.33,1.1
103,58,-0.36,1.71
104,58,0.26,1.71
105,58,0.16,1.71
106,58,-0.58,1.71
107,59,-1.33,0.65
108,59,0.16,0.65
109,59,-1.33,0.65
110,60,1.52,0.82
111,60,-1.33,0.82
112,60,0.56,0.82
113,60,0.91,0.82
114,60,-1.33,0.82
115,60,0.26,0.82
116,61,-1.33,1.17
117,61,0.39,1.17
118,61,1.14,1.17
119,61,0.03,1.17
120,61,0.16,1.17
121,61,-0.36,1.17
122,62,0.56,0.68
123,62,-1.33,0.68
124,62,0.03,0.68
125,62,0.39,0.68
126,62,-0.36,0.68
127,62,0.56,0.68
128,64,0.39,1.39
129,65,0.91,0.71
130,66,1.14,0.87
131,66,0.16,0.87
132,66,-0.13,0.87
133,66,-0.58,0.87
134,66,0.56,0.87
135,66,0.39,0.87
136,67,-0.13,0.49
137,67,-0.36,0.49
138,67,-0.58,0.49
139,67,2.42,0.49
140,67,-1.33,0.49
141,68,0.16,0.88
142,68,2.42,0.88
143,68,-1.33,0.88
144,68,-1.33,0.88
145,68,-1.33,0.88
146,68,-1.33,0.88
147,69,-0.13,1.16
148,69,1.14,1.16
149,69,-0.36,1.16
150,69,0.26,1.16
151,69,0.56,1.16
152,69,0.91,1.16
153,69,-1.33,1.16
154,70,-1.33,1.89
155,70,-1.33,1.89
156,70,-1.33,1.89
157,70,-1.33,1.89
158,119,-1.33,1.5
159,119,-1.33,1.5
160,119,-0.36,1.5
161,119,0.16,1.5
162,119,-1.33,1.5
163,120,-0.36,1.44
164,120,-1.33,1.44
165,121,-1.33,1.17
166,121,2.42,1.17
167,122,0.03,1.44
168,122,0.26,1.44
169,122,0.56,1.44
170,123,-0.36,1.2
171,123,-1.33,1.2
172,123,1.14,1.2
173,123,-0.58,1.2
174,123,0.74,1.2
175,124,0.03,1.39
176,125,-1.33,0.86
177,125,-1.33,0.86
178,125,0.91,0.86
179,126,-1.33,1.23
180,126,-1.33,1.23
181,126,1.14,1.23
182,126,0.03,1.23
183,126,-0.58,1.23
184,126,1.52,1.23
185,126,-1.33,1.23
186,127,-0.58,0.89
187,127,-1.33,0.89
188,127,-1.33,0.89
189,128,0.16,0.64
190,128,-0.13,0.64
191,128,-0.58,0.64
192,128,0.74,0.64
193,128,1.52,0.64
194,128,-1.33,0.64
195,130,-1.33,0.54
196,130,-0.13,0.54
197,130,0.03,0.54
198,130,1.52,0.54
199,130,0.56,0.54
200,133,-1.33,1.66
201,133,0.56,1.66
202,133,-0.13,1.66
203,133,-1.33,1.66
204,134,0.16,1.02
205,135,-0.36,1.68
206,135,-1.33,1.68
207,136,-1.33,1.36
208,136,-1.33,1.36
209,136,-1.33,1.36
210,137,-1.33,1.54
211,137,0.03,1.54
212,137,-1.33,1.54
213,138,0.03,1.32
214,139,-1.33,0.91
215,139,0.03,0.91
216,139,0.39,0.91
217,139,-0.36,0.91
218,139,1.14,0.91
219,139,0.56,0.91
220,139,-0.13,0.91
221,139,0.26,0.91
222,140,0.03,1.61
223,140,0.03,1.61
224,140,-0.36,1.61
225,140,-1.33,1.61
226,140,-0.36,1.61
227,140,-1.33,1.61
228,140,-1.33,1.61
229,140,1.14,1.61
230,143,2.42,0.68
231,143,-0.13,0.68
232,144,-1.33,1.3
233,144,-1.33,1.3
234,144,-1.33,1.3
235,144,-0.13,1.3
236,144,1.52,1.3
237,144,0.16,1.3
238,145,0.03,1.42
239,145,0.91,1.42
240,145,-1.33,1.42
241,145,1.14,1.42
242,145,-0.36,1.42
243,145,-1.33,1.42
244,145,-0.13,1.42
245,146,1.52,1.03
246,146,-0.58,1.03
247,147,0.91,0.85
248,147,0.91,0.85
249,148,0.03,0.52
250,148,0.56,0.52
251,148,1.52,0.52
252,148,1.52,0.52
253,148,-0.13,0.52
254,148,0.56,0.52
255,148,0.26,0.52
256,149,0.74,0.88
257,149,0.56,0.88
258,149,0.39,0.88
259,149,0.91,0.88
260,150,-1.33,0.68
261,150,0.26,0.68
262,150,0.39,0.68
263,150,0.56,0.68
264,151,0.74,0.18
265,151,0.74,0.18
266,151,0.39,0.18
267,151,0.74,0.18
268,151,1.14,0.18
269,151,1.52,0.18
270,152,0.26,0.9
271,152,-1.33,0.9
272,152,-1.33,0.9
273,152,0.39,0.9
274,152,-0.36,0.9
275,152,-0.36,0.9
276,152,-1.33,0.9
277,153,-0.13,1.12
278,153,1.14,1.12
279,153,0.91,1.12
280,153,0.91,1.12
281,153,0.74,1.12
282,153,-0.58,1.12
283,153,0.56,1.12
284,153,-0.13,1.12
285,153,1.14,1.12
286,154,-1.33,2.13
287,154,-0.36,2.13
288,154,0.03,2.13
289,155,-1.33,0.98
290,155,-1.33,0.98
291,155,0.91,0.98
292,155,-0.36,0.98
293,155,0.03,0.98
294,155,-1.33,0.98
295,155,0.03,0.98
296,156,-0.36,2.81
297,157,-1.33,1.25
298,157,-1.33,1.25
299,157,-1.33,1.25
300,158,0.16,1.67
301,158,-1.33,1.67
302,166,-0.36,0.42
303,168,-1.33,0.65
304,168,-1.33,0.65
305,168,0.39,0.65
306,168,0.91,0.65
307,169,-0.36,1.14
308,169,0.74,1.14
309,169,0.39,1.14
310,169,-0.36,1.14
311,169,-0.13,1.14
312,169,0.16,1.14
313,169,2.42,1.14
314,169,-0.13,1.14
315,169,-0.36,1.14
316,170,-0.36,0.85
317,170,-0.13,0.85
318,171,-0.36,1.27
319,171,-1.33,1.27
320,171,-1.33,1.27
321,171,-1.33,1.27
322,171,0.16,1.27
323,171,0.16,1.27
324,171,0.39,1.27
325,172,-0.13,0.82
326,172,1.52,0.82
327,174,2.42,1.32
328,174,0.91,1.32
329,174,0.56,1.32
330,174,0.39,1.32
331,174,0.39,1.32
332,174,1.52,1.32
333,174,0.91,1.32
334,175,-1.33,1.1
335,175,0.39,1.1
336,175,0.39,1.1
337,175,-0.13,1.1
338,175,0.03,1.1
339,176,0.03,0.76
340,176,-0.58,0.76
341,176,1.14,0.76
342,176,1.14,0.76
343,176,-1.33,0.76
344,177,-1.33,0.61
345,177,0.16,0.61
346,177,0.26,0.61
347,177,0.03,0.61
348,177,0.26,0.61
349,177,0.74,0.61
350,178,0.16,0.8
351,178,0.39,0.8
352,178,0.74,0.8
353,178,0.26,0.8
354,178,2.42,0.8
355,179,-0.58,0.83
356,179,0.39,0.83
357,179,0.39,0.83
358,179,0.16,0.83
359,179,1.52,0.83
360,180,0.39,0.93
361,180,0.91,0.93
362,180,1.52,0.93
363,181,0.91,1.3
364,181,-1.33,1.3
365,181,0.16,1.3
366,181,-1.33,1.3
367,181,-1.33,1.3
368,181,-1.33,1.3
369,181,0.91,1.3
370,181,-0.58,1.3
371,182,-1.33,1.14
372,182,0.56,1.14
373,182,-1.33,1.14
374,183,0.39,1.05
375,184,0.03,1.13
376,184,-1.33,1.13
377,184,-0.58,1.13
378,184,0.03,1.13
379,184,-1.33,1.13
380,184,-0.13,1.13
381,185,-1.33,0.69
382,185,0.39,0.69
383,186,-1.33,0.54
384,186,-1.33,0.54
385,186,-0.58,0.54
386,187,0.91,0.99
387,187,2.42,0.99
388,187,-1.33,0.99
389,187,-0.58,0.99
390,187,0.39,0.99
391,188,-1.33,1.07
392,188,-1.33,1.07
393,188,-0.58,1.07
394,188,0.74,1.07
395,189,0.39,0.56
396,189,-1.33,0.56
397,190,-0.13,0.71
398,190,-0.58,0.71
399,190,0.39,0.71
400,190,1.14,0.71
401,190,-1.33,0.71
402,190,-1.33,0.71
403,190,0.03,0.71
404,191,-0.36,0.4
405,191,-1.33,0.4
406,191,-1.33,0.4
407,192,0.56,0.99
408,192,-1.33,0.99
409,192,-0.58,0.99
410,192,-1.33,0.99
411,192,0.39,0.99
412,193,-0.58,1.86
413,193,2.42,1.86
414,193,-1.33,1.86
415,193,-0.36,1.86
416,194,2.42,0.62
417,194,0.91,0.62
418,194,0.26,0.62
419,194,-0.36,0.62
420,195,-1.33,2.65
421,195,-1.33,2.65
422,195,-1.33,2.65
423,195,0.39,2.65
424,195,0.26,2.65
425,195,-0.13,2.65
426,195,-0.36,2.65
427,195,-1.33,2.65
428,195,-1.33,2.65
429,197,0.39,1.38
430,197,-1.33,1.38
431,197,-0.36,1.38
432,197,1.14,1.38
433,197,0.74,1.38
434,198,-0.13,1.68
435,198,0.16,1.68
436,198,0.26,1.68
437,198,-1.33,1.68
438,199,-0.36,1.57
439,199,0.03,1.57
440,199,0.03,1.57
441,199,0.39,1.57
442,199,-0.13,1.57
443,199,0.39,1.57
444,199,-1.33,1.57
445,200,-0.13,1.05
446,210,0.74,0.56
447,210,0.03,0.56
448,210,-0.36,0.56
449,210,2.42,0.56
450,210,-0.13,0.56
451,210,2.42,0.56
452,211,0.03,0.92
453,211,-0.36,0.92
454,212,0.91,1.23
455,212,-0.36,1.23
456,212,0.03,1.23
457,213,-0.13,0.86
458,215,1.14,0.67
459,215,-1.33,0.67
460,216,0.91,0.44
461,216,0.56,0.44
462,216,1.14,0.44
463,216,0.39,0.44
464,216,0.39,0.44
465,216,-0.36,0.44
466,216,1.52,0.44
467,216,2.42,0.44
468,216,1.14,0.44
469,216,1.52,0.44
470,216,0.74,0.44
471,216,0.74,0.44
472,217,-0.36,0.62
473,217,0.16,0.62
474,217,-1.33,0.62
475,217,0.39,0.62
476,217,-0.58,0.62
477,217,0.91,0.62
478,218,-1.33,1.96
479,218,-0.36,1.96
480,218,-0.36,1.96
481,218,-1.33,1.96
482,218,1.14,1.96
483,218,-1.33,1.96
484,218,0.56,1.96
485,219,0.16,1.6
486,219,-1.33,1.6
487,219,0.91,1.6
488,220,0.26,0.97
489,220,-1.33,0.97
490,220,-0.36,0.97
491,220,0.03,0.97
492,220,0.74,0.97
493,220,0.03,0.97
494,221,-0.58,1.31
495,221,-0.13,1.31
496,221,-0.36,1.31
497,222,0.74,0.94
498,222,1.14,0.94
499,222,0.39,0.94
500,223,-0.13,0.78
501,223,0.56,0.78
502,223,0.03,0.78
503,224,-1.33,1.25
504,224,0.03,1.25
505,224,-0.58,1.25
506,224,-0.13,1.25
507,224,0.26,1.25
508,224,2.42,1.25
509,225,0.91,2.45
510,226,-0.36,1.08
511,226,-0.13,1.08
512,226,-1.33,1.08
513,226,0.26,1.08
514,226,-0.13,1.08
515,227,0.91,0.64
516,227,0.56,0.64
517,227,2.42,0.64
518,227,0.74,0.64
519,227,0.56,0.64
520,227,-0.36,0.64
521,228,1.52,0.59
522,229,-1.33,0.84
523,229,-1.33,0.84
524,229,0.16,0.84
525,229,0.74,0.84
526,229,0.74,0.84
527,229,-1.33,0.84
528,229,1.14,0.84
529,229,0.39,0.84
530,229,-0.36,0.84
531,229,0.56,0.84
532,229,0.56,0.84
533,229,0.74,0.84
534,230,-0.13,0.86
535,230,0.39,0.86
536,230,0.26,0.86
537,230,0.74,0.86
538,230,1.52,0.86
539,230,1.14,0.86
540,230,0.74,0.86
541,231,0.16,1.01
542,231,-0.58,1.01
543,231,0.16,1.01
544,231,-1.33,1.01
545,231,0.26,1.01
546,231,-0.58,1.01
547,232,-0.13,1.53
548,232,0.39,1.53
549,232,0.26,1.53
550,232,-0.58,1.53
551,233,-0.58,1.12
552,233,0.39,1.12
553,233,0.39,1.12
554,233,0.91,1.12
555,234,-0.36,1.38
556,234,0.39,1.38
557,234,-1.33,1.38
558,235,-0.36,2.21
559,235,0.16,2.21
560,235,-0.13,2.21
561,235,0.39,2.21
562,236,0.03,2.1
563,236,-0.58,2.1
564,236,-0.13,2.1
565,237,-0.13,2.22
566,237,0.26,2.22
567,237,-1.33,2.22
568,238,0.91,1.77
569,238,-0.36,1.77
570,239,-0.36,2.1
571,239,0.16,2.1
572,239,0.03,2.1
573,239,0.03,2.1
574,239,0.74,2.1
575,240,0.03,1.61
576,240,-0.58,1.61
577,240,-1.33,1.61
578,240,-0.58,1.61
579,241,-1.33,2.17
580,241,-1.33,2.17
581,241,-1.33,2.17
582,241,0.56,2.17
583,242,-1.33,2.7
584,242,-1.33,2.7
585,243,-1.33,1.46
586,243,-0.36,1.46
587,245,-1.33,1.92
588,245,-1.33,1.92
589,247,1.52,2.1
590,247,-0.58,2.1
591,247,1.14,2.1
592,248,-0.13,1.76
593,248,-1.33,1.76
594,248,0.03,1.76
595,248,-0.36,1.76
596,248,0.26,1.76
597,248,0.16,1.76
598,249,0.39,1.09
599,249,0.74,1.09
600,249,0.16,1.09
601,249,0.26,1.09
602,249,-1.33,1.09
603,249,0.39,1.09
604,249,0.26,1.09
605,250,-0.36,2
606,251,-1.33,0.98
607,251,-1.33,0.98
608,251,0.03,0.98
609,251,0.91,0.98
610,251,-1.33,0.98
611,252,0.74,0.46
612,252,-0.36,0.46
613,252,1.52,0.46
614,252,2.42,0.46
615,252,-1.33,0.46
616,253,0.26,1.54
617,253,-0.36,1.54
618,253,-1.33,1.54
619,256,1.52,1.91
620,256,-1.33,1.91
621,258,0.16,0.03
622,258,1.52,0.03
623,258,0.74,0.03
624,258,0.26,0.03
625,258,1.14,0.03
626,259,-0.58,0.15
627,259,1.14,0.15
628,259,0.91,0.15
629,259,1.52,0.15
630,259,1.14,0.15
631,259,2.42,0.15
632,259,1.52,0.15
633,259,0.74,0.15
634,259,1.14,0.15
635,260,0.91,0.05
636,260,2.42,0.05
637,260,2.42,0.05
638,260,1.52,0.05
639,260,1.52,0.05
640,260,1.14,0.05
641,260,-0.36,0.05
642,261,0.56,0.36
643,261,0.56,0.36
644,261,2.42,0.36
645,261,0.91,0.36
646,261,0.91,0.36
647,261,1.14,0.36
648,261,2.42,0.36
649,262,0.03,0.52
650,262,0.74,0.52
651,262,0.74,0.52
652,262,-1.33,0.52
653,262,-0.36,0.52
654,262,0.03,0.52
655,262,-0.36,0.52
656,263,-0.36,0.34
657,263,2.42,0.34
658,263,1.14,0.34
659,263,0.39,0.34
660,263,1.52,0.34
661,263,0.26,0.34
662,263,1.52,0.34
663,263,0.39,0.34
664,263,0.26,0.34
665,263,1.52,0.34
666,263,0.74,0.34
667,263,0.16,0.34
668,263,0.39,0.34
669,263,0.91,0.34
670,263,1.14,0.34
671,263,0.56,0.34
672,264,0.56,0.37
673,264,0.26,0.37
674,264,-1.33,0.37
675,264,1.52,0.37
676,264,1.14,0.37
677,264,1.14,0.37
678,264,0.74,0.37
679,265,0.74,0.15
680,265,1.14,0.15
681,265,0.74,0.15
682,265,0.26,0.15
683,265,1.52,0.15
684,265,0.91,0.15
685,265,0.39,0.15
686,265,-0.36,0.15
687,266,1.14,0.23
688,266,0.74,0.23
689,266,-0.58,0.23
690,266,0.39,0.23
691,266,-0.13,0.23
692,266,0.74,0.23
693,266,0.16,0.23
694,267,1.52,0.4
695,267,0.39,0.4
696,267,0.91,0.4
697,267,0.26,0.4
698,267,2.42,0.4
699,267,0.91,0.4
700,288,2.42,0.4
701,288,0.39,0.4
702,288,1.14,0.4
703,288,0.39,0.4
704,288,-0.36,0.4
705,288,0.39,0.4
706,290,-1.33,0.64
707,293,0.16,0.64
708,293,0.91,0.64
709,295,1.14,0.3
710,295,1.14,0.3
711,295,2.42,0.3
712,295,1.52,0.3
713,295,1.14,0.3
714,296,0.16,0.53
715,296,2.42,0.53
716,296,0.03,0.53
717,297,0.03,0.3
718,297,2.42,0.3
719,297,-0.58,0.3
720,297,2.42,0.3
721,298,0.39,0.38
722,298,-0.36,0.38
723,298,0.91,0.38
724,298,0.39,0.38
725,298,-0.58,0.38
726,298,2.42,0.38
727,298,0.56,0.38
728,298,0.74,0.38
729,298,0.16,0.38
730,299,1.14,0.29
731,299,1.14,0.29
732,299,0.74,0.29
733,299,-0.36,0.29
734,299,-0.36,0.29
735,299,2.42,0.29
736,299,0.74,0.29
737,299,0.56,0.29
738,300,1.14,0.26
739,300,0.39,0.26
740,300,0.56,0.26
741,301,1.52,0.12
742,314,1.52,0.77
743,314,-1.33,0.77
744,314,0.39,0.77
745,314,2.42,0.77
746,315,1.52,0.99
747,315,-1.33,0.99
748,315,-0.36,0.99
749,317,0.16,0.41
750,317,-0.58,0.41
751,318,-0.36,1.43
752,318,-0.36,1.43
753,318,-1.33,1.43
754,318,0.03,1.43
755,318,0.03,1.43
756,318,-0.13,1.43
757,318,-0.36,1.43
758,318,-1.33,1.43
759,319,1.52,0.51
760,344,0.03,1.34
761,344,-0.36,1.34
762,345,-0.36,1
763,346,0.56,0.94
764,346,0.16,0.94
765,347,0.91,0.82
766,347,-1.33,0.82
767,347,-0.13,0.82
768,347,1.52,0.82
769,348,-1.33,1.27
770,348,0.03,1.27
771,348,2.42,1.27
772,348,-0.58,1.27
773,348,0.56,1.27
774,348,-1.33,1.27
775,348,2.42,1.27
776,348,-1.33,1.27
777,349,0.74,0.84
778,349,0.39,0.84
779,349,0.91,0.84
780,349,-1.33,0.84
781,350,0.74,0.89
782,350,-1.33,0.89
783,351,-1.33,1.2
784,351,1.52,1.2
785,351,1.14,1.2
786,351,-0.36,1.2
787,351,0.03,1.2
788,351,0.03,1.2
789,351,0.56,1.2
790,351,-0.36,1.2
791,351,0.16,1.2
792,353,1.14,0
793,382,0.91,0.14
794,382,-1.33,0.14
795,382,0.39,0.14
796,382,2.42,0.14
797,382,1.52,0.14
798,382,0.26,0.14
799,382,0.03,0.14
800,383,0.26,1.92
801,383,-0.36,1.92
802,383,1.52,1.92
